Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
134,C7,511800.6,5.583333333333333,403.6225845202369,M100:F0,1205LU
140,C7,540050.8,5.833333333333333,414.61248013230994,M100:F0,1205LU
146,C7,555933.0,6.083333333333333,420.6649141012515,M100:F0,1205LU
152,C7,569404.3,6.333333333333333,425.73115686494106,M100:F0,1205LU
158,C7,586961.0,6.583333333333333,432.2447097470644,M100:F0,1205LU
164,C7,597416.1,6.833333333333333,436.07734496917413,M100:F0,1205LU
170,C7,615588.8,7.083333333333333,442.6601414900785,M100:F0,1205LU
176,C7,629937.4,7.333333333333333,447.78935013788913,M100:F0,1205LU
182,C7,643930.2,7.583333333333333,452.7354069125868,M100:F0,1205LU
188,C7,660713.2,7.833333333333333,458.59736533491787,M100:F0,1205LU
194,C7,678307.0,8.083333333333334,464.6631295548083,M100:F0,1205LU
200,C7,691900.5,8.333333333333334,469.29603600020727,M100:F0,1205LU
206,C7,708114.0,8.583333333333334,474.76276891216816,M100:F0,1205LU
212,C7,721764.8,8.833333333333334,479.31708851183936,M100:F0,1205LU
218,C7,731879.4,9.083333333333334,482.66390844381664,M100:F0,1205LU
224,C7,744029.1,9.333333333333334,486.6536942615644,M100:F0,1205LU
230,C7,744719.3,9.583333333333334,486.8793645471867,M100:F0,1205LU
236,C7,732411.8,9.833333333333334,482.83943158949364,M100:F0,1205LU
4,D7,1.080052e6,0.16666666666666666,586.3371292972802,M100:F0,1205LU
8,D7,809816.1,0.3333333333333333,507.71298055180864,M100:F0,1205LU
12,D7,660046.2,0.5,458.36582638547947,M100:F0,1205LU
16,D7,482385.1,0.6666666666666666,391.85194433326023,M100:F0,1205LU
20,D7,416941.7,0.8333333333333334,364.3029852640192,M100:F0,1205LU
24,D7,376938.0,1.0,346.38575588257913,M100:F0,1205LU
28,D7,359098.1,1.1666666666666667,338.08944872594805,M100:F0,1205LU
32,D7,336075.5,1.3333333333333333,327.07209320600947,M100:F0,1205LU
36,D7,318402.7,1.5,318.35628970951973,M100:F0,1205LU
40,D7,310990.0,1.6666666666666667,314.6286565211393,M100:F0,1205LU
44,D7,301870.4,1.8333333333333333,309.9811811485584,M100:F0,1205LU
48,D7,305323.0,2.0,311.74882418269607,M100:F0,1205LU
52,D7,308055.9,2.1666666666666665,313.1409242932728,M100:F0,1205LU
56,D7,310826.0,2.3333333333333335,314.5456861617449,M100:F0,1205LU
64,D7,319439.5,2.6666666666666665,318.8741928842894,M100:F0,1205LU
68,D7,333743.3,2.8333333333333335,325.93525712571005,M100:F0,1205LU
74,D7,353393.9,3.0833333333333335,335.3934586229223,M100:F0,1205LU
